DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200100584,2020-04-02,2020-04-02,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,DEPARTMENT STORE,IC,400 S SPRING ST,34.05,-118.26
200100587,2020-06-02,2020-06-02,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,F,"VEHICLE, PASSENGER/TRUCK",IC,300 W 5TH ST,34.04,-118.25
200218458,2020-11-12,2020-11-12,Rampart,761,BRANDISH WEAPON,34,M,PARKING LOT,AO,1800 S MAIN ST,34.07,-118.28
200100596,2020-08-02,2020-08-02,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,IC,600 W 7TH ST,34.05,-118.26
200104020,2020-01-01,2020-01-01,Central,350,"THEFT, PERSON",44,M,SIDEWALK,IC,700 ALPINE ST,34.05,-118.25
200104024,2020-01-01,2020-01-01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,M,"VEHICLE, PASSENGER/TRUCK",IC,6200 SYLMAR AV,34.05,-118.25
200104027,2020-01-01,2020-01-01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,57,M,PARKING LOT,IC,100 E 5TH ST,34.05,-118.26
200104035,2020-01-01,2020-01-01,Central,310,BURGLARY,34,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,1200 E 7TH ST,34.06,-118.24
200104038,2020-01-01,2020-01-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,SIDEWALK,IC,700 S FLOWER ST,34.04,-118.25
200104039,2020-01-01,2020-01-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,OTHER BUSINESS,IC,300 E 3RD ST,34.05,-118.26
200104041,2020-01-01,2020-01-01,Central,480,BIKE - STOLEN,23,M,RESTAURANT/FAST FOOD,IC,1ST,34.03,-118.27
200104043,2020-01-01,2020-01-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,"VEHICLE, PASSENGER/TRUCK",IC,1200 S GRAND AV,34.06,-118.24
200104047,2020-01-01,2020-01-01,Central,623,BATTERY POLICE (SIMPLE),0,X,MTA - RED LINE - PERSHING SQUARE,IC,300 S GRAND AV,34.05,-118.25
200104048,2020-01-01,2020-01-01,Central,623,BATTERY POLICE (SIMPLE),0,X,MTA - RED LINE - PERSHING SQUARE,IC,600 S CENTRAL AV,34.05,-118.25
